Ticker,PE,PB,ROE
RELIANCE.NS,25.559896,2.4230082,0.09717
TCS.NS,23.455994,10.901031,0.47355998
INFY.NS,22.742504,6.4011736,0.29026
HDFCBANK.NS,22.681923,2.7993753,0.108430006
ICICIBANK.NS,18.154657,2.8593636,0.17599002
HINDUNILVR.NS,50.06269,11.16726,0.21819
ITC.NS,25.031055,7.106706,0.27811
LT.NS,34.27768,5.540788,0.16521
AXISBANK.NS,15.2060375,1.9733734,0.14004
SBIN.NS,10.9194,1.5925028,0.15675999
BHARTIARTL.NS,32.771984,10.358484,0.33018002
KOTAKBANK.NS,23.558815,2.604806,0.1178
BAJFINANCE.NS,33.587475,5.9378533,0.1909
ASIANPAINT.NS,68.2984,13.553391,0.20392
MARUTI.NS,35.567154,5.2630386,0.1565
SUNPHARMA.NS,39.515163,5.300158,0.14216
TITAN.NS,87.129036,28.061949,0.36639
ULTRACEMCO.NS,47.487408,4.8119783,0.10519
WIPRO.NS,20.504673,3.2031925,0.16108999
HCLTECH.NS,25.968647,6.0897017,0.24326
NESTLEIND.NS,84.23807,56.00974,0.70792
POWERGRID.NS,17.115137,2.4837842,0.15918
NTPC.NS,17.641863,1.6625383,0.13104
ONGC.NS,8.260481,0.82156205,0.10977
JSWSTEEL.NS,47.19611,3.4226916,0.07279
COALINDIA.NS,7.880703,2.3322833,0.30576
DIVISLAB.NS,68.36898,11.00349,0.17061001
BAJAJFINSV.NS,34.00967,4.244486,0.15100999
M&M.NS,29.372822,4.998962,0.17235
ADANIENT.NS,34.515335,5.026144,0.15823
ADANIPORTS.NS,26.540268,4.734205,0.18591999
BPCL.NS,7.726358,1.7467408,0.24822001
GRASIM.NS,44.44619,1.9262286,0.058280002
TECHM.NS,31.478037,5.12562,0.16267
TATASTEEL.NS,33.042202,2.3626034,0.071729995
INDUSINDBK.NS,,1.0344535,-0.01161
HEROMOTOCO.NS,21.872276,5.4977927,0.26332
CIPLA.NS,22.452831,3.7084296,0.17676
APOLLOHOSP.NS,60.69551,11.135215,0.19795
BRITANNIA.NS,62.68579,38.91043,0.66230005
DRREDDY.NS,18.09822,2.9525626,0.1736
EICHERMOT.NS,39.253315,9.080963,0.24874
HDFCLIFE.NS,85.5017,9.549431,0.11649
SBILIFE.NS,82.92176,11.157718,0.14199
ICICIPRULI.NS,73.92146,7.6035137,0.10762
UPL.NS,30.700773,2.0424964,0.06831
LTIM.NS,36.97256,7.677882,0.21789
